cid,nom,prenom,adresse,email,numero,date_naiss,points
1, Carter, Chanda, "P.O. Box 687, 8758 Turpis Street", Aliquam.erat.volutpat@fermentumconvallis.co.uk, 02 92 20 26 57, 1965-11-28,49
 2, Clarke, Colby, "9305 Elit, Rd.", fermentum.convallis.ligula@fringilla.net, 08 23 06 43 07, 1972-07-06, 12
 3, Keaton, Florence, "P.O. Box 272, 3918 Montes, Avenue", interdum.libero.dui@a.co.uk, 09 02 25 48 37, 1998-08-17, 56
 4, Piper, Irene, Ap #171-4455 Ligula. Av., ultricies@Maurisquisturpis.net, 03 28 28 62 96, 1996-12-07, 58
 5, Fay, Iona, 763-3408 Sed Road, nulla@nuncinterdumfeugiat.edu, 02 09 71 74 29, 1992-06-09, 124
 6, Donna, Maia, "P.O. Box 581, 1635 Massa. Ave", Integer@convallis.com, 02 39 33 97 45, 1956-11-15, 15
 7, Karly, Kuame, Ap #348-915 Aliquam St., lacus.Quisque@dolorsit.net, 05 46 32 24 51, 1989-08-05, 117
 8, Declan, Aquila, Ap #963-5315 Risus. Ave, aliquet.odio@purusaccumsaninterdum.net, 04 81 32 45 83, 1964-03-09, 136
 9, Colette, Marah, 5158 Varius Ave, nisi.magna@portaelit.org, 01 42 44 06 66, 1996-06-19, 120
 10, Idola, Skyler, 1551 Arcu. Rd., et@mollisduiin.ca, 06 96 89 33 53, 1981-08-30, 84
 11, Tatum, Hermione, "P.O. Box 586, 2705 Tempor St.", lectus.sit@telluslorem.com, 07 42 03 93 33, 1980-01-09, 132
 12, Odessa, Odette, "P.O. Box 272, 7278 Vestibulum St.", pede@vitaealiquet.org, 08 87 85 65 62, 1972-03-08, 55
 13, Felicia, Ciara, "P.O. Box 860, 6304 Phasellus Rd.", Sed.nec@Phasellus.org, 09 64 85 48 29, 1966-11-08, 55
 14, Yvonne, Mohammad, Ap #100-7388 Eget St., rhoncus@feugiatnonlobortis.net, 09 69 31 99 40, 1970-11-05, 126
 15, Dana, Basia, "360-4983 Aliquet, St.", placerat@molestiearcu.co.uk, 09 46 07 62 65, 1993-09-10, 66
 16, Louis, Perry, Ap #738-743 Convallis Street, egestas@lacusMaurisnon.ca, 07 04 47 98 55, 1991-05-28, 80
 17, Imelda, Xandra, "P.O. Box 557, 3415 Ipsum Ave", fames.ac@congueelit.net, 06 21 92 50 46, 1956-08-24, 79
 18, Patrick, Jordan, "Ap #708-8687 Elit, Rd.", amet@ultrices.ca, 03 22 59 70 58, 1981-12-05, 82
 19, Brett, Hayden, 693 Eu St., facilisis.vitae.orci@acmattisornare.edu, 01 83 71 11 42, 1958-02-26, 26
 20, Gregory, Theodore, 8868 Id Street, Sed.nulla@risusDonecnibh.co.uk, 05 38 58 01 37, 1978-08-07, 56
 21, Nigel, Raven, 4161 Integer Road, semper@interdum.edu, 07 55 28 16 51, 1995-07-24, 86
 22, Kamal, Aimee, 843-4366 Elit. Rd., nibh.vulputate.mauris@Classaptent.co.uk, 03 38 39 46 96, 1980-10-27, 140
 23, Demetria, Rhea, "Ap #756-4415 Tellus, St.", mollis.dui.in@egestasDuisac.org, 05 35 53 14 27, 1960-09-03, 76
 24, Lester, Fiona, Ap #352-405 Ut Street, erat.Etiam@Aliquam.ca, 01 44 43 95 38, 2001-08-21, 2
 25, Griffith, Laura, 6869 Lobortis Street, mus@vel.edu, 07 55 23 30 75, 1980-11-18, 140
 26, Marsden, Dennis, 103-7802 Adipiscing St., hendrerit.consectetuer.cursus@ligulaDonecluctus.net, 07 98 25 49 36, 1961-01-17, 61
 27, Jana, Aubrey, Ap #341-9723 Arcu. St., vitae@Donecest.net, 09 62 68 00 05, 2002-05-14, 82
 28, Thor, Macey, "P.O. Box 987, 6933 Arcu. Ave", arcu@NuncmaurisMorbi.ca, 03 83 45 52 72, 1981-09-25, 56
 29, Caldwell, Erin, 7248 Sem. Av., purus.sapien@Donecfeugiat.net, 09 76 73 54 55, 1989-11-24, 59
 30, Pearl, Isaac, Ap #727-5555 Mi. Street, lectus@enim.com, 09 65 74 04 90, 1957-09-06, 39
 31, Samantha, Portia, 4098 Aliquam Av., eleifend.Cras.sed@Naminterdum.ca, 05 01 89 16 58, 1986-10-27, 98
 32, Keefe, Erasmus, 988-4869 Morbi Rd., risus.In@luctusut.org, 04 21 87 81 28, 1991-04-13, 52
 33, Katell, Thaddeus, "P.O. Box 379, 9771 Non Av.", condimentum.eget@Duisami.co.uk, 02 68 14 29 33, 1985-02-08, 64
 34, Abra, Burton, 1544 Fermentum Avenue, tellus@justoeu.com, 02 19 53 28 07, 1996-06-12, 38
 35, Rana, Leigh, Ap #957-4673 Nibh. St., eget.volutpat@Integervulputate.com, 05 54 74 16 89, 1979-11-02, 107
 36, Geoffrey, Hasad, "P.O. Box 404, 6981 Iaculis Rd.", quis@estac.co.uk, 06 77 56 31 28, 1968-11-10, 37
 37, Declan, Victor, "5170 A, Rd.", Donec.fringilla.Donec@egestashendrerit.ca, 06 18 55 88 73, 1962-07-23, 96
 38, Aquila, Idola, "P.O. Box 173, 137 Eget Rd.", dictum@diamlorem.org, 05 06 86 65 56, 1956-10-20, 113
 39, Iona, Garrison, 6991 Cras Rd., feugiat.Lorem.ipsum@odiosagittis.com, 08 43 83 46 00, 1960-09-09, 10
 40, Perry, Xantha, 3483 Morbi Rd., turpis.nec.mauris@ultrices.org, 01 10 46 77 46, 1992-02-18, 23
